Carga;Bodega;Fecha;Tipo;Tran_nbr;Tienda;Guias;Detalles;Cant_Wms;Procesado_jda;Encontrados
634756;200;2017-12-05 16:00:29.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635298;200;2017-12-06 01:26:33.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635307;200;2017-12-06 01:35:07.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635289;200;2017-12-06 01:41:03.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635286;200;2017-12-06 01:41:19.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635290;200;2017-12-06 01:41:19.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635310;200;2017-12-06 01:42:48.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635311;012;2017-12-06 01:44:04.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635309;200;2017-12-06 01:47:38.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635312;200;2017-12-06 01:55:55.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635314;200;2017-12-06 01:56:21.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635305;012;2017-12-06 01:57:00.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635306;200;2017-12-06 02:04:35.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635315;200;2017-12-06 02:04:47.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635068;200;2017-12-06 02:06:49.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635316;012;2017-12-06 02:10:17.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635308;200;2017-12-06 02:10:27.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635320;200;2017-12-06 02:12:29.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635322;012;2017-12-06 02:15:22.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635324;200;2017-12-06 02:23:45.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635321;200;2017-12-06 02:24:16.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635327;200;2017-12-06 02:25:02.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635228;200;2017-12-06 02:28:29.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635326;200;2017-12-06 02:30:20.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635325;200;2017-12-06 02:31:41.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635323;200;2017-12-06 02:32:37.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635313;200;2017-12-06 02:35:20.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635337;200;2017-12-06 02:35:24.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635330;200;2017-12-06 02:36:39.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635329;200;2017-12-06 02:36:45.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635317;200;2017-12-06 02:36:50.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635331;200;2017-12-06 02:36:55.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635334;200;2017-12-06 02:37:21.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635225;200;2017-12-06 02:37:53.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635333;012;2017-12-06 02:38:40.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635328;200;2017-12-06 02:38:59.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635338;200;2017-12-06 02:45:18.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635339;200;2017-12-06 02:51:12.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635335;200;2017-12-06 02:53:02.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635318;012;2017-12-06 02:57:27.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635231;200;2017-12-06 03:02:43.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635341;200;2017-12-06 03:03:00.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635229;200;2017-12-06 03:08:28.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635340;012;2017-12-06 03:10:24.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635342;200;2017-12-06 03:15:14.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635343;200;2017-12-06 03:16:54.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635347;200;2017-12-06 03:17:39.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635230;200;2017-12-06 03:18:36.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635348;200;2017-12-06 03:21:17.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635349;200;2017-12-06 03:22:33.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635344;200;2017-12-06 03:27:59.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635352;200;2017-12-06 03:45:12.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635362;200;2017-12-06 03:45:57.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635366;200;2017-12-06 03:46:21.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635351;200;2017-12-06 03:47:39.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635360;200;2017-12-06 03:47:55.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635359;200;2017-12-06 03:49:15.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635356;200;2017-12-06 03:51:01.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635355;200;2017-12-06 03:51:29.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635367;012;2017-12-06 03:54:14.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635357;200;2017-12-06 03:55:07.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635350;200;2017-12-06 03:56:01.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635369;012;2017-12-06 03:58:55.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635368;200;2017-12-06 04:01:57.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635364;200;2017-12-06 04:03:25.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635374;200;2017-12-06 04:05:59.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635363;200;2017-12-06 04:06:36.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635373;200;2017-12-06 04:07:57.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635375;200;2017-12-06 04:11:01.0;CTL;-;-;-;-;-;-;No encontrado en JDA
635376;200;2017-12-06 04:11:38.0;CTL;-;-;-;-;-;-;No encontrado en JDA
